sample,file_index,event,track_index,pdg,truth_pt_GeV,truth_phi,truth_tanlambda,truth_omega,d0_mm,z0_mm,phi_mrad,tanlambda,omega_rel_pct,pt_rel_pct,chi2,ndf,chi2_ndf
electron,1,39,0,11,2.000358904241652,-2.214106150924653,0.08748866452371666,-0.0004499192610344069,0.006365958135575056,0.007182876113802195,-0.3036772613822514,-0.00011949075853416591,0.33889991459398683,-0.33775526229851666,482.1673583984375,462,1.0436522909057089
electron,1,40,0,11,2.000358938518153,1.6276191558593818,0.08748866302458307,-0.00044991925332496155,457.72247314453125,35.05315399169922,-1204.0000345462868,0.0016550751260135527,1523.8931427663272,-93.84195934040041,40.75754165649414,34,1.1987512251910042
electron,1,41,0,11,2.000358974118635,-0.6776030847236499,0.08748866146754325,-0.00044991924531772757,-0.01199877355247736,-0.009227913804352283,0.6445833846911997,0.00036021792937218633,-0.05827992212734063,0.05831390742717511,473.9588317871094,458,1.0348446108888851
electron,1,42,0,11,2.000358910910462,-0.8558500656942301,0.08748866423204636,-0.00044991925953446305,0.005544648505747318,-0.01257436815649271,-0.16370917759611636,0.000838304020612482,-0.06068942853324593,0.06072628296733387,493.9834899902344,460,1.0738771521526835
electron,1,43,0,11,2.0003589145896,-0.787689784071231,0.08748866407113381,-0.00044991925870695404,0.026747146621346474,-0.0016504775267094374,-1.4574737336395804,-5.423812108346082e-05,6.789188503148961,-6.357561657984478,513.2337036132812,458,1.1205976061425356
electron,1,44,0,11,2.0003589292873523,2.7096879325153878,0.08748866342830582,-0.00044991925540114637,-0.06470433622598648,0.1020355299115181,6.485239481682559,-0.009806652598857116,3.921559390892798,-3.773576353047358,510.35540771484375,458,1.1143131172813183
electron,1,45,0,11,2.0003590086569685,-0.03308582425892796,0.08748865995695812,-0.0004499192375493915,-0.002810851903632283,-0.0037449621595442295,0.08155525505985917,0.0003037142367102452,0.06207804172327397,-0.06203952879869308,536.2215576171875,460,1.1656990382982337
electron,1,46,0,11,2.0003589423928236,-1.8684020875458365,0.0874886628551186,-0.00044991925245347345,-0.0009452156955376267,-0.0021289843134582043,-0.015533113038035395,-0.00013503845164188066,-0.04590045634469412,0.045921534538614577,451.70697021484375,460,0.9819716743800951
electron,1,47,0,11,2.000358941030243,1.7148478320074916,0.08748866291471309,-0.0004499192527599441,0.00017568787734489888,0.006258724257349968,-0.1552393866419699,-0.00030740769334620943,-0.10818096206844847,0.10829812001657124,420.118408203125,458,0.9172891008801856
electron,1,48,0,11,2.000358908677819,1.3232756386342033,0.08748866432969432,-0.00044991926003662744,0.00358605501241982,-0.001716136117465794,-0.09973149919351165,0.00046506708796162366,3.1990522121150904,-3.0998852640039383,535.5313110351562,460,1.1641985022503396
electron,1,49,0,11,2.0003589974704066,-2.756359375085891,0.08748866044621895,-0.0004499192400654646,0.011925769969820976,0.0011382459197193384,-0.6360644435279283,0.00013249195475151243,-0.02902738993774923,0.02903581827795029,469.2129821777344,460,1.0200282221255095
electron,1,50,0,11,2.0003589162647066,-1.3174191091556582,0.08748866399787053,-0.00044991925833019026,0.004708849824965,0.00651838444173336,-0.5374576549497245,-0.00011607786677464427,-0.2978697279374393,0.2987596424716477,483.6782531738281,458,1.0560660549646903
electron,1,51,0,11,2.0003589901853327,2.936905841525181,0.08748866076484244,-0.0004499192417040179,-0.01273381058126688,-0.005481634754687548,1.032133404628599,0.0007236952064939295,-0.10702708259278457,0.10714175328557854,495.3511657714844,460,1.0768503603727921
electron,1,52,0,11,2.000358906723939,0.6000655120028777,0.08748866441515016,-0.00044991926047609275,-0.004031999967992306,-0.0027626182418316603,0.39495771987008155,0.00015817758771849433,0.01690216087790471,-0.0168993045302776,535.9511108398438,460,1.1651111105213994
electron,1,53,0,11,2.0003589041028653,0.815436234782116,0.08748866452978671,-0.0004499192610656227,22.777734756469727,0.33937403559684753,-128.79799873627863,0.0007279680748122908,83.60782408670016,-45.53609003460566,469.00775146484375,444,1.0563237645604588
electron,1,54,0,11,2.0003589704642732,2.3364575695944256,0.08748866162737216,-0.0004499192461396639,-0.0019106416730210185,-0.0005007942672818899,-0.17722367767758485,0.00042810000936184534,-0.14148671886571693,0.14168718741824637,446.8655090332031,460,0.9714467587678329
electron,1,55,0,11,2.000358975906924,0.49361598568892945,0.08748866138932977,-0.00044991924491550694,0.0036754668690264225,0.007818661630153656,0.16075295471679185,-0.0006985616493013908,0.15398339076402556,-0.15374664646461478,450.1606750488281,462,0.9743737555169439
electron,1,56,0,11,2.0003589811454816,0.0818309074033185,0.0874886611602137,-0.00044991924373725446,-0.0030387016013264656,-0.007044341415166855,0.11383390537061944,0.00023468340422416745,0.5677138764367133,-0.5645090800554892,474.0219421386719,458,1.0349824064163142
electron,1,57,0,11,2.000358896000591,0.3471972215212021,0.0874886648841517,-0.00044991926288798033,0.003543359227478504,0.007809582632035017,-0.3630089796218816,-0.00028337408977914536,0.13719316940334414,-0.13700520761676432,487.55364990234375,460,1.0598992389181385
electron,1,58,0,11,2.000358998386562,-1.4471131361159923,0.08748866040614953,-0.00044991923985940357,0.00884617306292057,0.0012021325528621674,-0.3588401642200534,0.00021341275068412213,0.6633347531549147,-0.6589636184629997,435.8339538574219,462,0.9433635364879261
electron,1,59,0,11,2.000358913342672,-1.3224494784877285,0.08748866412567005,-0.00044991925898741215,-0.0048133013769984245,-0.004860284738242626,0.3640979335293171,0.00039968099666728985,-0.08818119072199858,0.0882590185754963,490.8895568847656,462,1.0625315084085836
