seed,entry,category,transition_count,ebrem_transition_count,ebrem_step_count,max_frac,sum_loss_GeV,cumulative_frac,lcio_residual_pct,gsf_residual_pct
61,3,light_ebrem,232,1,1,5.489453061552334e-05,0.00011014938354492188,5.489453061546801e-05,0.11565376404061879,0.7425325992927718
61,4,no_ebrem,231,0,0,0.0,0.0,0.0,0.02264196502220129,0.5479680469676154
61,5,hard_ebrem,232,1,1,0.11292728591127384,0.2264951467514038,0.11292728591127388,-0.029682319652340545,0.11376030704804081
61,6,light_ebrem,232,1,1,6.121031209533595e-05,0.0001227855682373047,6.12103120953833e-05,0.10672792472229808,0.3281111336744577
61,7,light_ebrem,233,2,3,0.07826469395136791,0.1579965353012085,0.07871919933363303,-7.81716115197937,1.0624303010743221
61,8,light_ebrem,232,2,2,7.846958625840605e-05,0.0002620220184326172,0.00013061559893168262,-0.03461918594816622,0.12870311011489444
61,9,light_ebrem,232,1,1,0.05993329775753685,0.12028241157531738,0.05993329775753686,-5.8993973260807255,0.006487763585920816
62,0,no_ebrem,232,0,0,0.0,0.0,0.0,-0.04351180166860741,0.4015577647818793
62,1,light_ebrem,233,1,1,0.0006127824055223432,0.0012285709381103516,0.0006127824055223163,-0.1348338257658754,0.3318121907234794
62,2,light_ebrem,232,1,1,0.003339039701171345,0.0066950321197509766,0.0033390397011713313,-0.250998212785858,-0.05083250400890494
62,3,light_ebrem,232,1,1,0.0035723005832208553,0.007161378860473633,0.0035723005832208887,-0.21285566898034283,-0.2539038773457475
62,4,light_ebrem,231,1,1,0.016267675110387604,0.032657504081726074,0.016267675110387625,-1.649954571589387,-1.3194022094659976
62,5,light_ebrem,232,1,1,0.0009734572170841682,0.0019528865814208984,0.0009734572170841949,-0.004867364977191339,0.1716712321637906
62,6,no_ebrem,232,0,0,0.0,0.0,0.0,-0.009513396665769686,0.6446689192169418
62,7,no_ebrem,231,0,0,0.0,0.0,0.0,0.040934815375378644,0.2025674435246863
62,8,no_ebrem,232,0,0,0.0,0.0,0.0,-0.1410632001327226,0.3941652026194777
62,9,no_ebrem,235,0,0,0.0,0.0,0.0,-0.0016245241588943669,3.7722013539521266
63,0,no_ebrem,231,0,0,0.0,0.0,0.0,-0.16263829892728318,0.012235974286832709
63,1,no_ebrem,231,0,0,0.0,0.0,0.0,0.02465062357338446,0.4044811612146134
63,2,no_ebrem,232,0,0,0.0,0.0,0.0,-0.010425929845221955,-0.2819619385155628
63,3,no_ebrem,231,0,0,0.0,0.0,0.0,0.008099814852366959,0.3485811391984881
63,4,light_ebrem,232,1,1,0.0008139365531344464,0.0016322135925292969,0.0008139365531344422,-0.06300860565337865,0.21440320740320898
63,5,no_ebrem,232,0,0,0.0,0.0,0.0,0.20885926623066547,0.6555086208474861
63,6,light_ebrem,232,1,1,6.459877746813641e-05,0.00012969970703125,6.459877746811671e-05,0.068649818762253,0.5162055440466055
63,7,no_ebrem,232,0,0,0.0,0.0,0.0,-5.701915458459481e-05,-0.012050327127212608
