file_index,event_id,n_comps,n_hits,n_hits_total,charge,gsf_p_header,gsf_chi2_header,gsf_ndf_header,truth_pt,lcio_pt,gsf_pt,truth_eta,lcio_eta,gsf_eta,truth_phi,lcio_phi,gsf_phi,lcio_d0,gsf_d0,lcio_z0,gsf_z0,truth_p,lcio_p,gsf_p,lcio_chi2,lcio_ndf,gsf_chi2,gsf_ndf,splits,reductions,peak_comps,final_comps,best_weight,mean_weight,weight_ratio,max_tX0,total_tX0,entry_index,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
1,78,25,233,233,-1,2.62,0.0,458.0,2.0004,1.9994,1.9985,0.0874,0.0866,-0.7685,2.2496,2.2537,2.1554,0.0069,2.0675,-0.0007,20.4785,2.008,2.007,2.618,462.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,78,2,0.0009580615757832645,0.0008304785694579486,0.0019174814224243164
1,79,25,233,233,-1,2.0,0.0,458.0,2.0004,2.0027,2.0026,0.0874,0.0874,0.04,-1.2545,-1.2496,-2.7669,0.0001,51.7967,-0.0016,2.5406,2.008,2.01,2.004,425.9,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,79,1,0.0001724957847233366,0.0001724957847233366,0.00034618377685546875
1,80,25,233,233,-1,2.11,0.0,458.0,2.0004,2.0034,2.003,0.0874,0.0886,-0.331,1.2008,1.2048,0.4101,0.0029,29.1565,0.0036,14.6917,2.008,2.011,2.114,523.1,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,80,1,0.006344868030169426,0.006344868030169426,0.012722253799438477
1,81,25,233,233,-1,1.88,0.0,458.0,2.0004,1.8782,1.8781,0.0874,0.0863,-0.0846,3.085,3.0891,3.0112,0.0057,2.7767,0.002,6.5055,2.008,1.885,1.885,623.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,81,2,0.06150244487405521,0.06149899479728993,0.12335860729217529
1,82,25,233,233,-1,2.06,0.0,458.0,2.0004,1.9996,1.9993,0.0874,0.0886,-0.2464,-2.4057,-2.4007,-2.7241,0.0081,11.9952,-0.0031,12.5595,2.008,2.007,2.06,449.6,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,82,1,0.03886329455544124,0.03886329455544124,0.07793545722961426
1,85,1,6,6,-1,0.14,2.0,4.0,2.0004,0.144,0.144,0.0874,0.0877,0.0841,-2.3264,-2.3168,-2.3877,0.0025,0.3264,0.0016,0.0625,2.008,0.145,0.145,7.0,6,2.0,4,0,0,1,1,1.0,1.0,1.0,0.000598,0.00259,85,2,0.0025681725457722404,0.002065461387026013,0.00034905970096588135
1,87,25,234,234,-1,2.02,0.0,460.0,2.0004,2.0,2.0001,0.0874,0.0877,0.1557,0.2438,0.2496,-1.3932,-0.0022,51.1449,0.0046,0.2028,2.008,2.008,2.024,473.0,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,87,1,6.990282674901316e-05,6.990282674901316e-05,0.00014019012451171875
1,88,5,232,232,-1,26.69,240.9,456.0,2.0004,1.9926,1.9928,0.0874,0.087,3.2865,2.238,2.2422,-2.6172,0.0029,-92.2839,-0.0064,-104.0736,2.008,2.0,26.691,433.2,458,240.9,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0185,88,3,0.09552922146129761,0.09060054184811328,0.1915034055709839
1,89,25,236,236,-1,22.58,41.4,464.0,2.0004,1.9937,1.9939,0.0874,0.0878,3.1181,1.5034,1.5086,-2.2759,0.0053,-2171.0698,0.0031,-72952.0859,2.008,2.001,22.578,458.2,466,41.4,464,2,27,25,25,0.3682,0.04,9.21,0.0032,0.0249,89,2,0.001824402757139132,0.001805767014552817,0.003657817840576172
1,90,25,233,233,-1,2.03,0.0,458.0,2.0004,1.972,1.9717,0.0874,0.0871,-0.2468,0.5509,0.5563,-0.7563,0.0022,47.0349,0.0048,10.4775,2.008,1.979,2.032,482.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,90,2,0.014419935505477932,0.011660439311054427,0.028929591178894043
