entry_index,file_index,event_id,tracking_file,material_step_file,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
85,1,85,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.0025681725457722404,0.002065461387026013,0.00034905970096588135
87,1,87,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,6.990282674901316e-05,6.990282674901316e-05,0.00014019012451171875
88,1,88,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,3,0.09552922146129761,0.09060054184811328,0.1915034055709839
89,1,89,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.001824402757139132,0.001805767014552817,0.003657817840576172
90,1,90,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.014419935505477932,0.011660439311054427,0.028929591178894043
91,1,91,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00019386346120398024,0.00019386346120398024,0.00038909912109375
92,1,92,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.046438249316423486,0.046438249316423486,0.09310317039489746
93,1,93,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00011843478395157092,0.00011843478395157092,0.0002377033233642578
94,1,94,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.08354739017761237,0.08354739017761237,0.16767120361328125
97,1,97,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.09175142310422824,0.0832617803970297,0.18412625789642334
98,1,98,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0004693997004964201,0.0004693997004964201,0.000942230224609375
0,2,0,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,3,0.004117034545685128,0.004079294651918031,0.008248090744018555
3,2,3,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,4,0.02985055567904904,0.017061418787661098,0.05969405174255371
4,2,4,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0015975299527947184,0.0015975299527947184,0.0032029151916503906
5,2,5,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.05218765827783878,0.052180737360565166,0.10472643375396729
7,2,7,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.07387627697350285,0.07387627697350285,0.14832627773284912
8,2,8,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.06205127546324196,0.05191396878323973,0.12440574169158936
9,2,9,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0011995801826024666,0.0011995801826024666,0.0024056434631347656
10,2,10,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,3,0.05046443173482207,0.03227095707767447,0.10122406482696533
11,2,11,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.04115678066296968,0.04115678066296968,0.0825800895690918
12,2,12,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,8.679307781256362e-06,8.679307781256362e-06,1.7404556274414062e-05
18,2,18,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0006721936183929911,0.0006721936183929911,0.0013480186462402344
20,2,20,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,8.543474282840524e-05,8.543474282840524e-05,0.00017142295837402344
21,2,21,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.018775920169265436,0.013390387600310083,0.03765261173248291
23,2,23,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.0012069364205808952,0.0012069364205808952,0.0024216175079345703
27,2,27,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,1,0.010853865195161738,0.010853865195161738,0.0217820405960083
28,2,28,trk-e--2.0-85-2.root,gsf_material_steps-e--2.0-85-2.root,2,0.0021723212558377725,0.0011830605510171344,0.00435638427734375
